 Basic	Block	1	BUF	Apply a shield for the next attack blocking half the damage
 Basic	Punch	1	ATK	Basic attack for 10 damage
 Basic	Heal	2	BUF	Heal for 20 HP
 Basic	Kick	2	ATK	You deal 15 damage.
 Basic	Hand Size Equals 6	3	BUF	Next turn, your hand size equals 6 instead of 5.
 Basic	Queue Size Equals 4	4	BUF	Next turn, your queue has 4 slots instead of 3.
 Basic	Reduce Opponent's Hand to 3	4	DBF	Next turn, your opponent's hand is reduced to 3.
 Basic	Reduce Opponent's Queue to 2	5	DBF	Next turn, your opponent's queue is reduced to 2.
Berserker	Battleaxe	1	BUF	For the rest of the match, any ATK card you play deals an additional 3 damage. This BUF can only be gained once. If you already have this BUF, ATK for 15 damage.
Berserker	Brute Force	1	BUF	For the rest of the match, each successive consecutive [Punch] card you play deals 110% (multiplicative x1.10) more damage than the last. This buff is lost if you play any card other than [Punch].
Berserker	Revenge	2	ATK	Deal 10 damage. If you were received damage this turn, that damage is added to this attack.
Berserker	Atlantean Sword	3	BUF	Any ATK card you play deals an additional 6 damage and removes 1 round from 1 random BUF effect from the target. This BUF can only be gained once. If you already have this BUF, ATK for 18 damage.
Berserker	Everything is a Fist	3	BUF	This card counts as a [Punch] card. The next two cards you play count as [Punch] cards.
Berserker	Flesh is Stronger	3	BUF	For the next 2 turns, whenever you deal damage, you heal for 2 HP.
Berserker	Rage	4	BUF	You deal and receive 30% more damage for the next 2 turns. The next card you play counts as a [Punch] card.
Berserker	Will is Strongest	4	BUF	For the next turn, any damage you take that would reduce you below 1 HP is entirely negated.
Berserker	Execute	5	ATK	This card deals damage equal to 40% of your opponent's maximum hitpoints if they were reduced to below 30% HP this turn.
Electricity	Spark	1	ATK	Deal 8 damage, 10% chance to stun target (skips next queued action)
Electricity	Taze	2	DBF	Stun opponent (skip next queued action)
Electricity	Battery	3	ATK	Every Electricity card you play in the next 3 turns adds 10 damage to battery buff. After 3 turns expel all damage and remove buff.
Electricity	Arc	4	ATK	Deal 10 damage plus 10 more for each card target has in hand
